date,merchant,amount
2026-03-01,Albert Heijn,12.40
2026-03-02,GVB Transport,2.90
2026-03-03,Kruidvat,7.20
2026-03-04,Hema,4.60
2026-03-05,Lidl,18.35
2026-03-06,NS Ticket,9.80
2026-03-07,Jumbo,23.45
2026-03-08,Etos,6.75
2026-03-09,Coffee Company,3.50
2026-03-10,Action,11.20
2026-03-11,Aldi,15.90
2026-03-12,GVB Transport,3.40
2026-03-13,Dirk,19.15
2026-03-14,Kiosk,2.60
2026-03-15,Albert Heijn,14.85
2026-03-16,Holland and Barrett,8.70
2026-03-17,Jumbo,26.30
2026-03-18,NS Ticket,7.95
2026-03-19,Hema,5.45
2026-03-20,Lidl,17.10
2026-03-21,Etos,9.55
2026-03-22,Coffee Company,4.25
2026-03-23,Aldi,13.60
2026-03-24,Albert Heijn,21.75
2026-03-25,GVB Transport,3.10
