date,merchant,amount
2026-05-01,Albert Heijn,17.35
2026-05-02,Pharmacy,13.60
2026-05-03,GVB Transport,3.20
2026-05-04,Jumbo,22.75
2026-05-05,Phone Repair,49.50
2026-05-06,Lidl,16.90
2026-05-07,NS Ticket,8.60
2026-05-08,Kruidvat,11.25
2026-05-09,Hema,6.80
2026-05-10,Dirk,24.40
2026-05-11,Coffee Company,4.70
2026-05-12,Etos,9.15
2026-05-13,Albert Heijn,18.95
2026-05-14,GVB Transport,3.95
2026-05-15,Jumbo,21.60
2026-05-16,Utility Top-up,27.30
2026-05-17,Lidl,14.55
2026-05-18,NS Ticket,7.40
2026-05-19,Pharmacy,16.85
2026-05-20,Action,9.70
2026-05-21,Dirk,19.20
2026-05-22,Coffee Company,3.80
2026-05-23,Albert Heijn,23.50
2026-05-24,Hema,5.90
2026-05-25,Kruidvat,12.65
